periode_update;bahan_pokok;satuan_bapok;harga_rata_rata
Apr-23;Daging Sapi Paha Belakang / kg;kg;117366
Mei 2023;Daging Sapi Paha Belakang / kg;kg;116926
Desember 2023;Daging Sapi Paha Belakang / kg;kg;116710
Nov-23;Daging Sapi Paha Belakang / kg;kg;116677
Juni 2023;Daging Sapi Paha Belakang / kg;kg;116590
Oktober 2023;Daging Sapi Paha Belakang / kg;kg;116526
Agustus 2023;Daging Sapi Paha Belakang / kg;kg;116421
Sep-23;Daging Sapi Paha Belakang / kg;kg;116401
Juli 2023;Daging Sapi Paha Belakang / kg;kg;116391
Maret 2023;Daging Sapi Paha Belakang / kg;kg;115128
Februari 2023;Daging Sapi Paha Belakang / kg;kg;114795
Januari 2023;Daging Sapi Paha Belakang / kg;kg;114518
Apr-23;Papan Meranti (4m X 3cm X 20mm);Lembar;108231
Maret 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;108206
Februari 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;108108
Mei 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;108037
Januari 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;107712
Juni 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;106168
Agustus 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;105956
Juli 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;105569
Desember 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;104500
Nov-23;Papan Meranti (4m X 3cm X 20mm);Lembar;104293
Sep-23;Papan Meranti (4m X 3cm X 20mm);Lembar;104093
Oktober 2023;Papan Meranti (4m X 3cm X 20mm);Lembar;103637
Februari 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;102011
Maret 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;101641
Januari 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;101450
Apr-23;Besi Beton 12 mm (12/9m) / Btg;Btg;101182
Juni 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;100826
Mei 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;100772
Juli 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;100767
Agustus 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;99551
Oktober 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;99150
Desember 2023;Besi Beton 12 mm (12/9m) / Btg;Btg;99098
Sep-23;Besi Beton 12 mm (12/9m) / Btg;Btg;98880
Nov-23;Besi Beton 12 mm (12/9m) / Btg;Btg;98427
Mei 2023;KAYU BALOK MERANTI (4 X 10);Btg;97308
Maret 2023;KAYU BALOK MERANTI (4 X 10);Btg;97200
Apr-23;KAYU BALOK MERANTI (4 X 10);Btg;97151
Februari 2023;KAYU BALOK MERANTI (4 X 10);Btg;97125
Januari 2023;KAYU BALOK MERANTI (4 X 10);Btg;96891
Juni 2023;KAYU BALOK MERANTI (4 X 10);Btg;96617
Desember 2023;KAYU BALOK MERANTI (4 X 10);Btg;96582
Juli 2023;KAYU BALOK MERANTI (4 X 10);Btg;96498
Nov-23;KAYU BALOK MERANTI (4 X 10);Btg;96126
Oktober 2023;KAYU BALOK MERANTI (4 X 10);Btg;95981
Sep-23;KAYU BALOK MERANTI (4 X 10);Btg;95798
Agustus 2023;KAYU BALOK MERANTI (4 X 10);Btg;95259
Desember 2023;Cabe Rawit Merah / kg;kg;77966
Agustus 2023;Triplek (6mm)/ lembar;lembar;76496
Sep-23;Triplek (6mm)/ lembar;lembar;76300
Oktober 2023;Triplek (6mm)/ lembar;lembar;76113
Januari 2023;Triplek (6mm)/ lembar;lembar;75904
Juni 2023;Triplek (6mm)/ lembar;lembar;75869
Oktober 2023;Ikan Asin Teri / kg;kg;75865
Mei 2023;Triplek (6mm)/ lembar;lembar;75690
Apr-23;Triplek (6mm)/ lembar;lembar;75668
Juli 2023;Triplek (6mm)/ lembar;lembar;75623
Nov-23;Triplek (6mm)/ lembar;lembar;75563
Februari 2023;Triplek (6mm)/ lembar;lembar;75555
Mei 2023;Ikan Asin Teri / kg;kg;75555
Apr-23;Ikan Asin Teri / kg;kg;75523
Sep-23;Ikan Asin Teri / kg;kg;75502
Agustus 2023;Ikan Asin Teri / kg;kg;75468
Juni 2023;Ikan Asin Teri / kg;kg;75456
Maret 2023;Triplek (6mm)/ lembar;lembar;75382
Juli 2023;Ikan Asin Teri / kg;kg;75263
Nov-23;Ikan Asin Teri / kg;kg;75194
Desember 2023;Triplek (6mm)/ lembar;lembar;75091
Desember 2023;Ikan Asin Teri / kg;kg;75024
Maret 2023;Ikan Asin Teri / kg;kg;74930
Nov-23;Cabe Rawit Merah / kg;kg;74364
Februari 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;73868
Februari 2023;Ikan Asin Teri / kg;kg;73737
Maret 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;73637
Januari 2023;Ikan Asin Teri / kg;kg;73604
Apr-23;Besi Beton 10 mm (12/9m) / Btg;Btg;73225
Januari 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;73029
Mei 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;72719
Juni 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;72664
Juli 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;72660
Agustus 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;72330
Oktober 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;72102
Sep-23;Besi Beton 10 mm (12/9m) / Btg;Btg;71867
Desember 2023;Besi Beton 10 mm (12/9m) / Btg;Btg;71762
Nov-23;Besi Beton 10 mm (12/9m) / Btg;Btg;71552
Maret 2023;Cabe Rawit Merah / kg;kg;69065
Desember 2023;Cabe Merah Besar / kg;kg;68218
Juni 2023;Daging Ayam Kampung / kg;kg;66460
Juli 2023;Daging Ayam Kampung / kg;kg;66278
Mei 2023;Daging Ayam Kampung / kg;kg;65790
Apr-23;Daging Ayam Kampung / kg;kg;65764
Agustus 2023;Daging Ayam Kampung / kg;kg;65517
Sep-23;Daging Ayam Kampung / kg;kg;65231
Desember 2023;Daging Ayam Kampung / kg;kg;65177
Oktober 2023;Daging Ayam Kampung / kg;kg;65174
Nov-23;Daging Ayam Kampung / kg;kg;65070
Januari 2023;Daging Ayam Kampung / kg;kg;64188
Maret 2023;Daging Ayam Kampung / kg;kg;64168
Februari 2023;Daging Ayam Kampung / kg;kg;63656
Desember 2023;Cabe Merah Keriting / kg;kg;63459
Nov-23;Cabe Merah Keriting / kg;kg;58062
Oktober 2023;Semen Gresik / 40 Kg;40 Kg;57149
Februari 2023;Semen Gresik / 40 Kg;40 Kg;56907
Maret 2023;Semen Gresik / 40 Kg;40 Kg;56889
Februari 2023;Cabe Rawit Merah / kg;kg;56786
Juni 2023;Semen Gresik / 40 Kg;40 Kg;56738
Apr-23;Semen Gresik / 40 Kg;40 Kg;56696
Mei 2023;Semen Gresik / 40 Kg;40 Kg;56644
Desember 2023;Semen Gresik / 40 Kg;40 Kg;56620
Januari 2023;Semen Gresik / 40 Kg;40 Kg;56617
Sep-23;Semen Gresik / 40 Kg;40 Kg;56582
Juli 2023;Semen Gresik / 40 Kg;40 Kg;56523
Agustus 2023;Semen Gresik / 40 Kg;40 Kg;56519
Nov-23;Semen Gresik / 40 Kg;40 Kg;56458
Nov-23;Cabe Merah Besar / kg;kg;53558
Maret 2023;Semen Tiga Roda / 40 Kg;40 Kg;51595
Juli 2023;Semen Tiga Roda / 40 Kg;40 Kg;51554
Agustus 2023;Semen Tiga Roda / 40 Kg;40 Kg;51514
Apr-23;Semen Tiga Roda / 40 Kg;40 Kg;51487
Februari 2023;Semen Tiga Roda / 40 Kg;40 Kg;51469
Juni 2023;Semen Tiga Roda / 40 Kg;40 Kg;51442
Mei 2023;Semen Tiga Roda / 40 Kg;40 Kg;51386
Sep-23;Semen Tiga Roda / 40 Kg;40 Kg;51242
Oktober 2023;Semen Tiga Roda / 40 Kg;40 Kg;51217
Desember 2023;Semen Tiga Roda / 40 Kg;40 Kg;51064
Januari 2023;Semen Tiga Roda / 40 Kg;40 Kg;51050
Nov-23;Semen Tiga Roda / 40 Kg;40 Kg;50972
Januari 2023;Cabe Rawit Merah / kg;kg;50716
Maret 2023;Semen Dinamix / 40 Kg;40 Kg;50287
Februari 2023;Semen Dinamix / 40 Kg;40 Kg;50267
Januari 2023;Semen Dinamix / 40 Kg;40 Kg;50095
Apr-23;Semen Dinamix / 40 Kg;40 Kg;50017
Juli 2023;Semen Dinamix / 40 Kg;40 Kg;49943
Mei 2023;Semen Dinamix / 40 Kg;40 Kg;49921
Agustus 2023;Semen Dinamix / 40 Kg;40 Kg;49905
Juni 2023;Semen Dinamix / 40 Kg;40 Kg;49892
Sep-23;Semen Dinamix / 40 Kg;40 Kg;49809
Oktober 2023;Semen Dinamix / 40 Kg;40 Kg;49785
Nov-23;Semen Dinamix / 40 Kg;40 Kg;49763
Desember 2023;Semen Dinamix / 40 Kg;40 Kg;49740
Februari 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;48167
Apr-23;Besi Beton 8 mm (12/9m) / Btg;Btg;48080
Januari 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;48054
Desember 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;48044
Maret 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;48022
Mei 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;47924
Juli 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;47862
Nov-23;Besi Beton 8 mm (12/9m) / Btg;Btg;47839
Agustus 2023;Semen Bosowa / 40Kg;40 Kg;47755
Juni 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;47748
Juli 2023;Semen Bosowa / 40Kg;40 Kg;47719
Agustus 2023;Besi Beton 8 mm (12/9m) / Btg;Btg;47703
Desember 2023;Semen Bosowa / 40Kg;40 Kg;47699
Apr-23;Semen Bosowa / 40Kg;40 Kg;47623
