|----------------|---------------------------------------------------|--------------|-----------------|
| periode_update | bahan_pokok                                       | satuan_bapok | harga_rata_rata |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Garam Beryodium  Bata / buah                      | Buah         |            1447 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Garam Beryodium  Bata / buah                      | Buah         |            1466 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Garam Beryodium  Bata / buah                      | Buah         |            1471 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Garam Beryodium  Bata / buah                      | Buah         |            1474 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Garam Beryodium  Bata / buah                      | Buah         |            1477 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Garam Beryodium  Bata / buah                      | Buah         |            1478 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Garam Beryodium  Bata / buah                      | Buah         |            1478 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Garam Beryodium  Bata / buah                      | Buah         |            1486 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Garam Beryodium  Bata / buah                      | Buah         |            1503 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Garam Beryodium  Bata / buah                      | Buah         |            1509 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Garam Beryodium  Bata / buah                      | Buah         |            1527 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Garam Beryodium  Bata / buah                      | Buah         |            1532 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3018 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3025 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3037 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3063 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3083 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3094 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3101 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3128 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3128 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3130 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3132 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Indomie Rasa Kari Ayam / bungkus                  | Bungkus      |            3136 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Ketela Pohon / kg                                 | kg           |            4593 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Ketela Pohon / kg                                 | kg           |            4616 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Ketela Pohon / kg                                 | kg           |            4619 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Ketela Pohon / kg                                 | kg           |            4624 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Ketela Pohon / kg                                 | kg           |            4651 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Ketela Pohon / kg                                 | kg           |            4658 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Ketela Pohon / kg                                 | kg           |            4660 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Ketela Pohon / kg                                 | kg           |            4665 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Ketela Pohon / kg                                 | kg           |            4679 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Ketela Pohon / kg                                 | kg           |            4693 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Ketela Pohon / kg                                 | kg           |            4706 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Ketela Pohon / kg                                 | kg           |            4713 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5573 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5669 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5814 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5828 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5838 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5840 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5876 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5920 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Pupuk ZA Non Subsidi / Kg                         | Kg           |            5979 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Pupuk ZA Non Subsidi / Kg                         | Kg           |            6036 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Pupuk ZA Non Subsidi / Kg                         | Kg           |            6092 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Tomat / kg                                        | kg           |            6115 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Pupuk ZA Non Subsidi / Kg                         | Kg           |            6115 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Tomat / kg                                        | kg           |            6161 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Tomat / kg                                        | kg           |            6320 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Tomat / kg                                        | kg           |            6762 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            6822 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            6875 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Pupuk Urea Non Subsidi / Kg                       | Kg           |            6948 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Kol/kubis (/kg)                                   | kg           |            6948 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            6974 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Kol/kubis (/kg)                                   | kg           |            6979 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7021 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7117 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7121 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Jagung Pipilan Kering / kg                        | kg           |            7122 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Jagung Pipilan Kering / kg                        | kg           |            7127 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Jagung Pipilan Kering / kg                        | kg           |            7132 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Kol/kubis (/kg)                                   | kg           |            7133 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7134 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7154 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Jagung Pipilan Kering / kg                        | kg           |            7195 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7213 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7214 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Tomat / kg                                        | kg           |            7227 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7236 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Jagung Pipilan Kering / kg                        | kg           |            7240 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7273 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7288 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7289 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7290 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Jagung Pipilan Kering / kg                        | kg           |            7298 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Jagung Pipilan Kering / kg                        | kg           |            7331 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7343 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Pupuk SP 35 Non Subsidi / Kg                      | Kg           |            7347 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Jagung Pipilan Kering / kg                        | kg           |            7359 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Kol/kubis (/kg)                                   | kg           |            7370 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7402 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Jagung Pipilan Kering / kg                        | kg           |            7414 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7430 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Kol/kubis (/kg)                                   | kg           |            7453 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7554 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Jagung Pipilan Kering / kg                        | kg           |            7554 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Tomat / kg                                        | kg           |            7564 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Kol/kubis (/kg)                                   | kg           |            7597 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Kol/kubis (/kg)                                   | kg           |            7613 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7623 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7631 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Jagung Pipilan Kering / kg                        | kg           |            7636 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Kol/kubis (/kg)                                   | kg           |            7676 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Jagung Pipilan Kering / kg                        | kg           |            7689 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Kol/kubis (/kg)                                   | kg           |            7719 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Pupuk Urea Non Subsidi / Kg                       | Kg           |            7719 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Tomat / kg                                        | kg           |            8238 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Kol/kubis (/kg)                                   | kg           |            8323 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Kol/kubis (/kg)                                   | kg           |            8470 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Garam Beryodium Halus / kg                        | kg           |            8473 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Garam Beryodium Halus / kg                        | kg           |            8591 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Garam Beryodium Halus / kg                        | kg           |            8608 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Garam Beryodium Halus / kg                        | kg           |            8636 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Tomat / kg                                        | kg           |            8672 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Garam Beryodium Halus / kg                        | kg           |            8755 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Garam Beryodium Halus / kg                        | kg           |            8803 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Garam Beryodium Halus / kg                        | kg           |            8829 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Garam Beryodium Halus / kg                        | kg           |            8831 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Garam Beryodium Halus / kg                        | kg           |            8832 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Garam Beryodium Halus / kg                        | kg           |            8842 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Garam Beryodium Halus / kg                        | kg           |            8844 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Garam Beryodium Halus / kg                        | kg           |            8905 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            8956 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9149 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9398 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9433 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9469 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9472 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Kol/kubis (/kg)                                   | kg           |            9488 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9495 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9538 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9612 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Tomat / kg                                        | kg           |            9704 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Oktober 2023   | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9806 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Buncis / kg                                       | kg           |            9889 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9913 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Pupuk KCL  Non Subsidi / Kg                       | Kg           |            9973 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Buncis / kg                                       | kg           |            9975 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Buncis / kg                                       | kg           |           10001 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Beras Medium / kg                                 | kg           |           10015 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Wortel / kg                                       | kg           |           10032 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juli 2023      | Beras Medium / kg                                 | kg           |           10328 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Wortel / kg                                       | kg           |           10329 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Wortel / kg                                       | kg           |           10349 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Beras Medium / kg                                 | kg           |           10367 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Beras Medium / kg                                 | kg           |           10381 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Agustus 2023   | Beras Medium / kg                                 | kg           |           10404 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Buncis / kg                                       | kg           |           10407 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Wortel / kg                                       | kg           |           10437 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Beras Medium / kg                                 | kg           |           10454 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Wortel / kg                                       | kg           |           10518 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Beras Medium / kg                                 | kg           |           10560 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Beras Medium / kg                                 | kg           |           10587 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Buncis / kg                                       | kg           |           10629 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Juni 2023      | Tomat / kg                                        | kg           |           10838 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Pupuk NPK Non Subsidi / Kg                        | Kg           |           10885 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Mei 2023       | Tomat / kg                                        | kg           |           11065 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Februari 2023  | Pupuk NPK Non Subsidi / Kg                        | Kg           |           11172 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Apr-23         | Buncis / kg                                       | kg           |           11202 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Januari 2023   | Wortel / kg                                       | kg           |           11207 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Beras Medium / kg                                 | kg           |           11287 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Beras Medium / kg                                 | kg           |           11313 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Sep-23         | Beras Medium / kg                                 | kg           |           11314 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Maret 2023     | Pupuk NPK Non Subsidi / Kg                        | Kg           |           11383 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Desember 2023  | Tepung Terigu / kg                                | kg           |           11399 |
|----------------|---------------------------------------------------|--------------|-----------------|
| Nov-23         | Tepung Terigu / kg                                | kg           |           11421 |
|----------------|---------------------------------------------------|--------------|-----------------|
